sciname_NO_Phylogeny,Matched,Fuzzy,scientificName,taxonRank,majorGroup,family_WFO,genus_WFO,specificEpithet,Old.status,sciname_IN_WFO,tipLabel,IN_Phylogeny
Vaccinium sp.,TRUE,FALSE,Vaccinium,genus,A,Ericaceae,Vaccinium,sp.,,Vaccinium sp.,Vaccinium_sp.,0
Viola sp.,TRUE,FALSE,Viola,genus,A,Violaceae,Viola,sp.,,Viola sp.,Viola_sp.,0
Dryopteris leedsii,TRUE,FALSE,Dryopteris leedsii,species,P,Dryopteridaceae,Dryopteris,leedsii,,Dryopteris leedsii,Dryopteris_leedsii,0
Xyris torta,TRUE,FALSE,Xyris torta,species,A,Xyridaceae,Xyris,torta,,Xyris torta,Xyris_torta,0
Tragopogon dubius,TRUE,FALSE,Tragopogon dubius,species,A,Asteraceae,Tragopogon,dubius,,Tragopogon dubius,Tragopogon_dubius,0
Crocanthemum bicknellii,TRUE,FALSE,Crocanthemum bicknellii,species,A,Cistaceae,Crocanthemum,bicknellii,,Crocanthemum bicknellii,Crocanthemum_bicknellii,0
Dichanthelium linearifolium,TRUE,FALSE,Dichanthelium linearifolium,species,A,Poaceae,Dichanthelium,linearifolium,,Dichanthelium linearifolium,Dichanthelium_linearifolium,0
Pilosella longipila,TRUE,FALSE,Pilosella longipila,species,A,Asteraceae,Pilosella,longipila,,Pilosella longipila,Pilosella_longipila,0
Dichanthelium praecocius,TRUE,FALSE,Dichanthelium praecocius,species,A,Poaceae,Dichanthelium,praecocius,,Dichanthelium praecocius,Dichanthelium_praecocius,0
Artemisia campestris,TRUE,FALSE,Artemisia campestris,species,A,Asteraceae,Artemisia,campestris,,Artemisia campestris,Artemisia_campestris,0
Euphorbia maculata,TRUE,FALSE,Euphorbia maculata,species,A,Euphorbiaceae,Euphorbia,maculata,,Euphorbia maculata,Euphorbia_maculata,0
Andropogon gerardii,TRUE,FALSE,Andropogon gerardii,species,A,Poaceae,Andropogon,gerardii,,Andropogon gerardii,Andropogon_gerardii,0
Plantago patagonica,TRUE,FALSE,Plantago patagonica,species,A,Plantaginaceae,Plantago,patagonica,,Plantago patagonica,Plantago_patagonica,0
Taraxacum officinale,TRUE,FALSE,Taraxacum officinale,species,A,Asteraceae,Taraxacum,officinale,,Taraxacum officinale,Taraxacum_officinale,0
Erigeron philadelphicus,TRUE,FALSE,Erigeron philadelphicus,species,A,Asteraceae,Erigeron,philadelphicus,,Erigeron philadelphicus,Erigeron_philadelphicus,0
Melilotus albus,TRUE,FALSE,Melilotus albus,species,A,Fabaceae,Melilotus,albus,,Melilotus albus,Melilotus_albus,0
Amphicarpa bracteata,TRUE,FALSE,Amphicarpa bracteata,species,A,Fabaceae,Amphicarpa,bracteata,,Amphicarpa bracteata,Amphicarpa_bracteata,0
Hesperostipa spartea,TRUE,FALSE,Stipa spartea,species,A,Poaceae,Stipa,spartea,Synonym,Stipa spartea,Stipa_spartea,0
Physalis heterophylla,TRUE,FALSE,Physalis heterophylla,species,A,Solanaceae,Physalis,heterophylla,,Physalis heterophylla,Physalis_heterophylla,0
Koeleria pyramidata,TRUE,FALSE,Koeleria pyramidata,species,A,Poaceae,Koeleria,pyramidata,,Koeleria pyramidata,Koeleria_pyramidata,0
Bouteloua hirsuta,TRUE,FALSE,Bouteloua hirsuta,species,A,Poaceae,Bouteloua,hirsuta,,Bouteloua hirsuta,Bouteloua_hirsuta,0
Hackelia virginiana,TRUE,FALSE,Hackelia virginiana,species,A,Boraginaceae,Hackelia,virginiana,,Hackelia virginiana,Hackelia_virginiana,0
Salsola kali,TRUE,FALSE,Salsola kali,species,A,Amaranthaceae,Salsola,kali,,Salsola kali,Salsola_kali,0
Dalea candida,TRUE,FALSE,Dalea candida,species,A,Fabaceae,Dalea,candida,,Dalea candida,Dalea_candida,0
Vicia setifolia,TRUE,FALSE,Vicia setifolia,species,A,Fabaceae,Vicia,setifolia,,Vicia setifolia,Vicia_setifolia,0
Pulsatilla patens,TRUE,FALSE,Pulsatilla patens,species,A,Ranunculaceae,Pulsatilla,patens,,Pulsatilla patens,Pulsatilla_patens,0
Hesperostipa comata,TRUE,FALSE,Stipa comata,species,A,Poaceae,Stipa,comata,Synonym,Stipa comata,Stipa_comata,0
Parthenocissus vitacea,TRUE,FALSE,Parthenocissus vitacea,species,A,Vitaceae,Parthenocissus,vitacea,,Parthenocissus vitacea,Parthenocissus_vitacea,0
Cirsium altissimum,TRUE,FALSE,Cirsium altissimum,species,A,Asteraceae,Cirsium,altissimum,,Cirsium altissimum,Cirsium_altissimum,0
Vitis riparia,TRUE,FALSE,Vitis riparia,species,A,Vitaceae,Vitis,riparia,,Vitis riparia,Vitis_riparia,0
