kingdom,phylum,majorGroup,class,order,family_PHY,family_WFO,genus_PHY,genus_WFO,specificEpithet,sciname_IN_WFO,sciname_IN_Phylogeny,tipLabel,IN_Phylogeny
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Antennaria,Antennaria,parlinii,Antennaria parlinii,Antennaria parlinii,Antennaria_parlinii,1
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Antennaria,Antennaria,neglecta,Antennaria neglecta,Antennaria neglecta,Antennaria_neglecta,1
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Antennaria,Antennaria,plantaginifolia,Antennaria plantaginifolia,Antennaria plantaginifolia,Antennaria_plantaginifolia,1
Plantae,Tracheophyta,A,Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculaceae,Aquilegia,Aquilegia,canadensis,Aquilegia canadensis,Aquilegia canadensis,Aquilegia_canadensis,1
Plantae,Tracheophyta,A,Magnoliopsida,Brassicales,Brassicaceae,Brassicaceae,Turritis,Turritis,glabra,Turritis glabra,Turritis glabra,Turritis_glabra,1
Plantae,Tracheophyta,A,Magnoliopsida,Brassicales,Brassicaceae,Brassicaceae,Arabis,Arabis,hirsuta,Arabis hirsuta,Arabis hirsuta,Arabis_hirsuta,1
Plantae,Tracheophyta,A,Magnoliopsida,Apiales,Araliaceae,Araliaceae,Aralia,Aralia,nudicaulis,Aralia nudicaulis,Aralia nudicaulis,Aralia_nudicaulis,1
Plantae,Tracheophyta,A,Magnoliopsida,Caryophyllales,Caryophyllaceae,Caryophyllaceae,Moehringia,Moehringia,lateriflora,Moehringia lateriflora,Moehringia lateriflora,Moehringia_lateriflora,1
Plantae,Tracheophyta,A,Magnoliopsida,Rosales,Rosaceae,Rosaceae,Aronia,Aronia,melanocarpa,Aronia melanocarpa,Aronia melanocarpa,Aronia_melanocarpa,1
Plantae,Tracheophyta,A,Magnoliopsida,Gentianales,Apocynaceae,Apocynaceae,Asclepias,Asclepias,exaltata,Asclepias exaltata,Asclepias exaltata,Asclepias_exaltata,1
Plantae,Tracheophyta,A,Magnoliopsida,Gentianales,Apocynaceae,Apocynaceae,Asclepias,Asclepias,incarnata,Asclepias incarnata,Asclepias incarnata,Asclepias_incarnata,1
Plantae,Tracheophyta,A,Magnoliopsida,Gentianales,Apocynaceae,Apocynaceae,Asclepias,Asclepias,ovalifolia,Asclepias ovalifolia,Asclepias ovalifolia,Asclepias_ovalifolia,1
Plantae,Tracheophyta,A,Magnoliopsida,Gentianales,Apocynaceae,Apocynaceae,Asclepias,Asclepias,tuberosa,Asclepias tuberosa,Asclepias tuberosa,Asclepias_tuberosa,1
Plantae,Tracheophyta,A,Magnoliopsida,Gentianales,Apocynaceae,Apocynaceae,Asclepias,Asclepias,viridiflora,Asclepias viridiflora,Asclepias viridiflora,Asclepias_viridiflora,1
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Symphyotrichum,Symphyotrichum,oolentangiense,Symphyotrichum oolentangiense,Symphyotrichum oolentangiense,Symphyotrichum_oolentangiense,1
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Symphyotrichum,Symphyotrichum,ericoides,Symphyotrichum ericoides,Symphyotrichum ericoides,Symphyotrichum_ericoides,1
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Symphyotrichum,Symphyotrichum,boreale,Symphyotrichum boreale,Symphyotrichum boreale,Symphyotrichum_boreale,1
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Symphyotrichum,Symphyotrichum,lanceolatum,Symphyotrichum lanceolatum,Symphyotrichum lanceolatum,Symphyotrichum_lanceolatum,1
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Eurybia,Eurybia,macrophylla,Eurybia macrophylla,Eurybia macrophylla,Eurybia_macrophylla,1
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Symphyotrichum,Symphyotrichum,novae-angliae,Symphyotrichum novae-angliae,Symphyotrichum novae-angliae,Symphyotrichum_novae-angliae,1
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Solidago,Solidago,ptarmicoides,Solidago ptarmicoides,Solidago ptarmicoides,Solidago_ptarmicoides,1
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Symphyotrichum,Symphyotrichum,puniceum,Symphyotrichum puniceum,Symphyotrichum puniceum,Symphyotrichum_puniceum,1
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Doellingeria,Doellingeria,umbellata,Doellingeria umbellata,Doellingeria umbellata,Doellingeria_umbellata,1
Plantae,Tracheophyta,A,Magnoliopsida,Fabales,Fabaceae,Fabaceae,Astragalus,Astragalus,canadensis,Astragalus canadensis,Astragalus canadensis,Astragalus_canadensis,1
Plantae,Tracheophyta,A,Magnoliopsida,Fabales,Fabaceae,Fabaceae,Baptisia,Baptisia,alba,Baptisia alba,Baptisia alba,Baptisia_alba,1
Plantae,Tracheophyta,A,Magnoliopsida,Brassicales,Brassicaceae,Brassicaceae,Barbarea,Barbarea,vulgaris,Barbarea vulgaris,Barbarea vulgaris,Barbarea_vulgaris,1
Plantae,Tracheophyta,A,Magnoliopsida,Brassicales,Brassicaceae,Brassicaceae,Berteroa,Berteroa,incana,Berteroa incana,Berteroa incana,Berteroa_incana,1
Plantae,Tracheophyta,A,Magnoliopsida,Fagales,Betulaceae,Betulaceae,Betula,Betula,alleghaniensis,Betula alleghaniensis,Betula alleghaniensis,Betula_alleghaniensis,1
Plantae,Tracheophyta,A,Magnoliopsida,Fagales,Betulaceae,Betulaceae,Betula,Betula,papyrifera,Betula papyrifera,Betula papyrifera,Betula_papyrifera,1
Plantae,Tracheophyta,A,Magnoliopsida,Fagales,Betulaceae,Betulaceae,Betula,Betula,pumila,Betula pumila,Betula pumila,Betula_pumila,1
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Bidens,Bidens,cernua,Bidens cernua,Bidens cernua,Bidens_cernua,1
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Bidens,Bidens,coronata,Bidens coronata,Bidens coronata,Bidens_coronata,1
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Bidens,Bidens,tripartita,Bidens tripartita,Bidens tripartita,Bidens_tripartita,1
Plantae,Tracheophyta,A,Liliopsida,Poales,Poaceae,Poaceae,Bouteloua,Bouteloua,curtipendula,Bouteloua curtipendula,Bouteloua curtipendula,Bouteloua_curtipendula,1
Plantae,Tracheophyta,A,Liliopsida,Poales,Poaceae,Poaceae,Bouteloua,Bouteloua,aristidoides,Bouteloua aristidoides,Bouteloua aristidoides,Bouteloua_aristidoides,1
Plantae,Tracheophyta,A,Liliopsida,Poales,Poaceae,Poaceae,Bromus,Bromus,ciliatus,Bromus ciliatus,Bromus ciliatus,Bromus_ciliatus,1
Plantae,Tracheophyta,A,Liliopsida,Poales,Poaceae,Poaceae,Bromus,Bromus,kalmii,Bromus kalmii,Bromus kalmii,Bromus_kalmii,1
