majorGroup,class,order,family_WFO,genus_PHY,species
A,Magnoliopsida,Sapindales,Anacardiaceae,Rhus,Rhus glabra
A,Magnoliopsida,Sapindales,Anacardiaceae,Toxicodendron,Toxicodendron radicans
A,Magnoliopsida,Saxifragales,Grossulariaceae,Ribes,Ribes hirtellum
A,Magnoliopsida,Fabales,Fabaceae,Robinia,Robinia pseudoacacia
A,Magnoliopsida,Rosales,Rosaceae,Rosa,Rosa arkansana
A,Magnoliopsida,Rosales,Rosaceae,Rosa,Rosa blanda
A,Magnoliopsida,Rosales,Rosaceae,Rosa,Rosa carolina
A,Magnoliopsida,Rosales,Rosaceae,Rubus,Rubus allegheniensis
A,Magnoliopsida,Rosales,Rosaceae,Rubus,Rubus canadensis
A,Magnoliopsida,Rosales,Rosaceae,Rubus,Rubus flagellaris
A,Magnoliopsida,Rosales,Rosaceae,Rubus,Rubus idaeus
A,Magnoliopsida,Rosales,Rosaceae,Rubus,Rubus occidentalis
A,Magnoliopsida,Rosales,Rosaceae,Rubus,Rubus pubescens
A,Magnoliopsida,Caryophyllales,Polygonaceae,Rumex,Rumex acetosella
A,Magnoliopsida,Malpighiales,Salicaceae,Salix,Salix bebbiana
A,Magnoliopsida,Malpighiales,Salicaceae,Salix,Salix discolor
A,Magnoliopsida,Malpighiales,Salicaceae,Salix,Salix petiolaris
A,Magnoliopsida,Malpighiales,Salicaceae,Salix,Salix humilis
A,Magnoliopsida,Malpighiales,Salicaceae,Salix,Salix interior
A,Magnoliopsida,Malpighiales,Salicaceae,Salix,Salix pedicellaris
A,Magnoliopsida,Malpighiales,Salicaceae,Salix,Salix pyrifolia
A,Magnoliopsida,Malpighiales,Salicaceae,Salix,Salix serissima
A,Magnoliopsida,Caryophyllales,Amaranthaceae,Salsola,Salsola kali
A,Liliopsida,Poales,Poaceae,Schizachne,Schizachne purpurascens
A,Liliopsida,Poales,Poaceae,Schizachyrium,Schizachyrium scoparium
A,Liliopsida,Poales,Cyperaceae,Scirpus,Scirpus cyperinus
A,Liliopsida,Poales,Cyperaceae,Eleocharis,Eleocharis geniculata
A,Liliopsida,Poales,Cyperaceae,Scleria,Scleria triglomerata
