taxon,birth,death,ccp,source
Penthoraceae,0.04151157206109838,0.031827184492837106,0,from __TAXONOMIC_ROOT__ (singleton)
Penthorum,0.04151157206109838,0.031827184492837106,0,from Penthoraceae (singleton)
Phrymaceae,0.04151157206109838,0.031827184492837106,0.0,from __TAXONOMIC_ROOT__ (not monophyletic)
Mimulus,0.04151157206109838,0.031827184492837106,0,from Phrymaceae (singleton)
Phryma,0.04151157206109838,0.031827184492837106,0,from Phrymaceae (singleton)
Pinaceae,0.012476406569168338,0.008473579978012565,1.0,computed
Larix,0.012476406569168338,0.008473579978012565,0,from Pinaceae (singleton)
Pinus,0.01336628574228818,0.01336606036968213,1.0,computed
Plantaginaceae,0.022284949705001268,0.014843121398804601,1.0,computed
Linaria,0.022284949705001268,0.014843121398804601,0,from Plantaginaceae (singleton)
Penstemon,0.17311044661357125,0.17311034434526812,1.0,computed
Plantago,0.022284949705001268,0.014843121398804601,1.0,from Plantaginaceae (cherry)
Veronicastrum,0.022284949705001268,0.014843121398804601,0,from Plantaginaceae (singleton)
Poaceae,0.04151157206109838,0.031827184492837106,0.0,from __TAXONOMIC_ROOT__ (not monophyletic)
Agrostis,0.04151157206109838,0.031827184492837106,0,from Poaceae (singleton)
Andropogon,0.04151157206109838,0.031827184492837106,0,from Poaceae (singleton)
Anthoxanthum,0.04151157206109838,0.031827184492837106,0,from Poaceae (singleton)
Aristida,0.04151157206109838,0.031827184492837106,1.0,from Poaceae (cherry)
Bouteloua,0.04151157206109838,0.031827184492837106,0.0,from Poaceae (not monophyletic)
Bromus,0.04815768058807547,0.0,1.0,computed
Calamagrostis,0.04151157206109838,0.031827184492837106,0.0,from Poaceae (not monophyletic)
Cenchrus,0.04151157206109838,0.031827184492837106,0.0,from Poaceae (not monophyletic)
Chondrosum,0.04151157206109838,0.031827184492837106,0.0,from Poaceae (unsampled)
Danthonia,0.04151157206109838,0.031827184492837106,0,from Poaceae (singleton)
Dichanthelium,0.04151157206109838,0.031827184492837106,1.0,from Poaceae (cherry)
Digitaria,0.04151157206109838,0.031827184492837106,0.0,from Poaceae (not monophyletic)
Elymus,0.04151157206109838,0.031827184492837106,0.0,from Poaceae (not monophyletic)
Eragrostis,0.04151157206109838,0.031827184492837106,1.0,from Poaceae (cherry)
Festuca,0.10152184210070653,0.10152157362072668,1.0,computed
Glyceria,0.04151157206109838,0.031827184492837106,0,from Poaceae (singleton)
Koeleria,0.04151157206109838,0.031827184492837106,0.0,from Poaceae (unsampled)
Leersia,0.04151157206109838,0.031827184492837106,0,from Poaceae (singleton)
Lolium,0.04151157206109838,0.031827184492837106,0,from Poaceae (singleton)
Miscanthus,0.04151157206109838,0.031827184492837106,0.0,from Poaceae (unsampled)
Muhlenbergia,0.04151157206109838,0.031827184492837106,0,from Poaceae (singleton)
Panicum,0.04151157206109838,0.031827184492837106,0.75,from Poaceae (crown capture probability)
Paspalum,0.04151157206109838,0.031827184492837106,0,from Poaceae (singleton)
Phalaris,0.04151157206109838,0.031827184492837106,0,from Poaceae (singleton)
Phleum,0.04151157206109838,0.031827184492837106,0,from Poaceae (singleton)
Poa,0.0963095438522439,0.09630885188039184,1.0,computed
Schizachne,0.04151157206109838,0.031827184492837106,0,from Poaceae (singleton)
Schizachyrium,0.04151157206109838,0.031827184492837106,0,from Poaceae (singleton)
Secale,0.04151157206109838,0.031827184492837106,0,from Poaceae (singleton)
Setaria,0.04151157206109838,0.031827184492837106,1.0,from Poaceae (cherry)
